05-07-2017_14:32:28.289; omar; 127.0.0.1:39738; asd; 
05-07-2017_14:32:28.720; omar; 127.0.0.1:39738; asd; 
05-07-2017_14:32:29.436; omar; 127.0.0.1:39738; asd; 
05-07-2017_14:32:30.075; omar; 127.0.0.1:39738; ; 
05-07-2017_14:32:30.339; omar; 127.0.0.1:39738; asd; 
05-07-2017_14:32:30.598; omar; 127.0.0.1:39738; as; 
05-07-2017_14:32:56.795; omar; 127.0.0.1:39738; 4o3od; 
05-07-2017_14:37:23.011; omar; 127.0.0.1:39748; s; 
05-07-2017_14:37:23.249; omar; 127.0.0.1:39748; s; 
05-07-2017_14:37:23.478; omar; 127.0.0.1:39748; d; 
05-07-2017_14:37:23.679; omar; 127.0.0.1:39748; d; 
05-07-2017_14:37:23.890; omar; 127.0.0.1:39748; f; 
05-07-2017_14:37:24.119; omar; 127.0.0.1:39748; a; 
05-07-2017_14:37:24.317; omar; 127.0.0.1:39748; ; 
05-07-2017_14:37:24.524; omar; 127.0.0.1:39748; s; 
05-07-2017_14:37:24.734; omar; 127.0.0.1:39748; f; 
05-07-2017_14:37:25.016; omar; 127.0.0.1:39748; f; 
05-07-2017_14:37:25.257; omar; 127.0.0.1:39748; d; 
05-07-2017_14:37:25.469; omar; 127.0.0.1:39748; ; 
05-07-2017_14:37:25.721; omar; 127.0.0.1:39748; a; 
05-07-2017_14:37:25.979; omar; 127.0.0.1:39748; s; 
05-07-2017_14:37:57.577; pepe; 127.0.0.1:39750; s; 
05-07-2017_14:37:57.796; pepe; 127.0.0.1:39750; s; 
05-07-2017_14:37:58.013; pepe; 127.0.0.1:39750; s; 
05-07-2017_14:37:58.681; pepe; 127.0.0.1:39750; d; 
05-07-2017_14:37:59.280; pepe; 127.0.0.1:39750; a; 
05-07-2017_14:37:59.545; pepe; 127.0.0.1:39750; s; 
05-07-2017_14:37:59.753; pepe; 127.0.0.1:39750; d; 
05-07-2017_14:37:59.962; pepe; 127.0.0.1:39750; d; 
05-07-2017_14:38:00.360; pepe; 127.0.0.1:39750; s; 
